OTU.ID,MO100E,MO100S,MO87E,MO87S,MO98E,MO98S,MO99E,MO99S,Taxonomy,taxon,guid,mbNumber,taxonomicLevel,trophicMode,guild,confidenceRanking,growthForm,trait,notes,citationSource
ASV1,7651,725,5349,1044,1662,375,4265,183,Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces;Archaeorhizomyces_sp;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV100,1004,22,118,0,40,9,7,0,Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_unclassified;Helotiales_unclassified;Helotiales_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1000,0,0,93,0,0,0,0,0,Fungi;Ascomycota;Sordariomycetes;Conioscyphales;unidentified;unidentified;Conioscyphales_sp;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1001,0,0,0,16,0,0,77,0,Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_unclassified;Hypocreales_unclassified;Hypocreales_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1002,0,0,0,93,0,0,0,0,Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Didymellaceae_unclassified;Didymellaceae_unclassified;,Didymellaceae,F971F4FB-F68A-481E-B5F1-2BF2B753AA5D,508292,9,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph,Possible,Microfungus,NULL,NULL,"Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))"
ASV1004,0,0,0,0,0,93,0,0,Fungi;Ascomycota;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1005,0,0,0,0,0,93,0,0,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;Aspergillus_porphyreostipitatus;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASV1007,92,0,0,0,0,0,0,0,Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;Mortierella_sarnyensis;,Mortierellaceae,3BD31551-4295-4664-858B-8E44073A293E,816415,9,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Possible,Microfungus,NULL,Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007),"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))"
ASV101,72,123,0,46,114,249,577,15,Fungi;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;Hannaella;Hannaella_luteola;,Hannaella luteola,E798853F-2FD0-4E8E-A556-E107D2685E80,508462,20,Pathotroph,Animal Pathogen,Probable,NULL,NULL,Likely opportunistic human pathogen (Irinyi et al. 2015),"Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008))"
ASV1011,0,0,0,0,0,0,92,0,Fungi;Ascomycota;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;Ascomycota_unclassified;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
