"MO100E","MO100S","MO87E","MO87S","MO98E","MO98S","MO99E","MO99S"
2590,260,1820,412,1623,100,1562,58
12,0,0,0,0,0,0,5941
15,0,17,0,0,0,0,4829
318,198,1941,730,1792,26,1630,101
38,1054,0,0,0,2339,0,37
1094,14,889,113,255,45,508,10
0,0,0,0,0,0,0,2343
971,58,777,87,334,32,581,13
54,71,906,434,700,37,889,25
25,0,44,2506,0,0,151,0
183,266,312,103,189,365,147,720
31,10,155,1916,276,0,279,6
807,73,687,71,193,42,452,28
0,2047,0,0,0,0,0,0
23,102,76,746,664,91,629,8
241,32,940,144,152,66,169,11
183,165,738,231,433,0,133,46
547,79,531,88,408,27,320,17
2,16,12,1703,0,0,0,0
10,0,0,0,0,0,1521,20
0,1459,0,0,0,0,0,0
0,0,60,584,2120,11,11,0
3,56,142,39,56,855,61,61
0,0,0,0,0,0,137,1081
0,56,134,195,157,644,89,0
0,1203,18,0,0,0,0,0
0,80,0,0,0,10,56,857
0,26,35,468,1530,7,35,0
12,0,0,0,0,909,0,12
56,0,79,703,639,0,0,0
363,74,235,37,356,18,152,2
429,19,210,28,246,11,182,5
343,64,293,80,164,10,142,15
25,119,0,17,0,673,0,8
0,0,0,0,0,35,48,702
0,0,111,20,0,0,610,160
42,141,0,347,67,58,215,53
0,8,0,385,13,2,179,200
9,2,0,37,45,353,344,4
314,42,178,27,104,8,165,0
309,34,184,20,156,10,150,7
58,407,110,31,51,116,0,5
2,0,0,0,0,0,0,614
118,368,131,32,0,12,43,0
53,417,190,0,92,0,31,0
28,476,53,12,45,85,0,1
0,0,0,0,0,0,0,611
17,0,116,330,263,13,116,0
0,0,0,0,0,566,0,0
76,9,147,44,96,49,260,11
462,12,48,18,120,37,0,3
1,0,0,10,0,509,0,6
517,0,0,0,0,0,12,0
0,38,438,155,0,0,0,0
433,0,0,0,0,0,106,0
574,0,0,0,0,0,0,0
0,590,0,0,0,0,0,0
17,54,72,0,0,341,0,6
0,0,0,0,30,468,0,19
22,4,34,0,0,429,0,0
0,0,0,0,0,0,0,456
88,167,104,0,0,139,0,2
56,0,200,11,16,12,42,133
9,327,0,35,343,1,30,2
41,0,20,285,416,0,36,0
5,3,0,14,51,79,384,3
0,482,10,0,0,0,0,0
9,0,0,0,0,440,0,0
0,0,0,0,0,386,0,18
0,4,0,0,0,418,0,19
0,0,0,0,0,0,450,30
405,0,0,0,0,0,45,0
31,15,0,0,0,352,0,0
98,0,0,0,285,5,247,0
249,0,163,0,0,0,66,0
12,0,435,0,0,0,0,0
404,0,21,0,0,0,0,0
0,0,0,0,62,314,0,23
437,0,0,0,0,0,0,0
0,0,0,424,0,0,0,0
326,7,35,0,39,2,1,0
23,42,0,18,110,79,209,2
292,0,102,0,0,0,33,0
398,0,0,0,0,0,18,0
9,386,0,0,0,0,26,0
149,0,159,34,0,7,73,0
24,47,169,56,15,0,122,15
67,248,52,30,15,0,0,0
30,21,117,117,181,61,0,0
0,0,310,13,93,30,0,0
0,18,0,0,0,334,0,0
0,0,0,13,0,360,0,6
8,9,0,75,65,230,31,0
11,5,0,159,245,0,152,0
0,0,0,0,0,332,0,0
17,18,39,136,180,32,88,0
30,0,43,75,423,0,94,0
353,0,0,0,0,0,0,0
0,0,111,32,118,0,170,0
7,152,68,53,81,23,0,33
0,0,0,0,0,307,0,0
27,266,22,18,36,0,0,0
0,0,0,0,0,306,0,1
27,0,0,11,451,0,107,10
37,0,100,36,18,32,139,2
15,0,125,172,53,23,0,0
15,220,38,0,0,0,30,0
114,0,195,13,0,0,39,0
0,0,0,320,51,2,0,0
24,17,93,124,0,33,0,18
0,0,0,4,261,0,204,0
0,0,0,0,0,0,272,41
9,24,92,16,0,62,63,0
0,0,0,0,0,220,41,0
0,0,0,0,0,265,0,0
0,0,285,0,0,0,0,0
0,257,0,0,0,0,0,0
28,0,119,0,45,0,117,0
0,265,0,0,0,0,0,0
46,27,167,2,0,5,0,0
29,6,118,9,115,0,62,0
29,148,0,16,28,0,11,0
26,94,0,72,0,0,43,0
0,0,83,0,0,131,0,0
10,76,0,21,0,52,63,0
0,14,0,154,0,73,0,2
0,0,0,0,0,0,0,209
0,0,0,235,0,0,0,18
0,116,48,0,0,73,0,0
4,0,0,0,0,157,0,47
0,0,0,28,56,116,38,0
44,20,0,32,0,119,0,3
