"MO100E","MO100S","MO87E","MO87S","MO98E","MO98S","MO99E","MO99S"
7651,725,5349,1044,1662,375,4265,183
31,0,0,0,0,0,0,20031
43,0,58,0,0,0,0,16385
950,630,5684,1900,1834,81,4368,372
121,2955,0,0,0,7759,0,105
3264,27,2592,300,271,116,1373,38
0,0,0,0,0,0,0,7698
2872,180,2327,237,343,88,1448,45
167,204,2736,1079,720,109,2367,78
64,0,152,6487,0,0,427,0
536,800,898,271,194,1280,375,2415
82,25,386,5238,282,0,702,15
2339,195,1961,212,194,132,1169,76
0,5899,0,0,0,0,0,0
79,293,249,1959,690,299,1689,19
693,102,2704,411,159,233,509,38
594,457,2183,582,445,0,367,184
1550,200,1476,225,415,85,815,45
10,42,41,4509,0,0,0,0
31,0,0,0,0,0,4174,73
0,4250,0,0,0,0,0,0
0,0,184,1592,2190,23,31,0
5,157,387,107,58,2882,189,189
0,0,0,0,0,0,401,3484
0,144,353,483,161,2139,255,0
0,3427,63,0,0,0,0,0
0,212,0,0,0,59,137,2897
0,73,105,1225,1587,39,100,0
51,0,0,0,0,2970,0,38
201,0,259,1898,661,0,0,0
1137,192,700,93,368,52,419,5
1225,62,633,75,256,29,532,7
996,182,795,208,167,43,379,39
90,308,0,67,0,2152,0,29
0,0,0,0,0,133,129,2335
0,0,314,60,0,0,1646,552
106,423,0,990,71,182,573,150
0,36,0,1049,16,13,485,707
25,15,0,123,48,1138,947,9
914,106,499,76,105,24,485,0
917,111,511,48,160,43,395,14
186,1088,331,87,55,404,0,21
10,0,0,0,0,0,0,2109
348,1097,366,102,0,62,112,0
156,1169,545,0,95,0,86,0
83,1388,158,26,45,270,0,9
0,0,0,0,0,0,0,1941
60,0,334,837,269,61,312,0
0,0,0,0,0,1859,0,0
230,31,436,129,99,142,723,36
1285,38,150,40,126,135,0,9
13,0,0,29,0,1698,0,13
1670,0,0,0,0,0,31,0
0,111,1182,406,0,0,0,0
1364,0,0,0,0,0,315,0
1648,0,0,0,0,0,0,0
0,1641,0,0,0,0,0,0
35,190,224,0,0,1166,0,17
0,0,0,0,30,1472,0,75
65,10,116,0,0,1361,0,0
0,0,0,0,0,0,0,1549
280,491,267,0,0,463,0,10
176,0,627,31,16,34,126,501
30,922,0,98,351,13,73,7
128,0,53,783,431,0,95,0
14,18,0,46,55,227,1079,17
0,1386,23,0,0,0,0,0
25,0,0,0,0,1358,0,0
0,0,0,0,0,1328,0,46
0,11,0,0,0,1292,0,57
0,0,0,0,0,0,1220,126
1203,0,0,0,0,0,130,0
82,46,0,0,0,1181,0,0
309,0,0,0,293,15,673,0
672,0,428,0,0,0,164,0
28,0,1214,0,0,0,0,0
1161,0,72,0,0,0,0,0
0,0,0,0,62,1083,0,68
1211,0,0,0,0,0,0,0
0,0,0,1201,0,0,0,0
1004,22,118,0,40,9,7,0
72,123,0,46,114,249,577,15
812,0,294,0,0,0,82,0
1132,0,0,0,0,0,56,0
15,1102,0,0,0,0,69,0
448,0,436,86,0,17,194,0
55,124,456,149,17,0,324,49
186,736,147,87,16,0,0,0
80,59,329,322,185,197,0,0
