"ID","Taxonomy"
"ASV1","Root; k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces"
"ASV2","Root; k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Atheliaceae; g__Athelopsis"
"ASV3","Root; k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Atheliaceae; g__Athelopsis"
"ASV4","Root; k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium"
"ASV8","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideomycetes_ord_Incertae_sedis; f__Dothideomycetes_fam_Incertae_sedis; g__Gonatophragmium"
"ASV11","Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified"
"ASV12","Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified"
"ASV13","Root; k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__Lecanoromycetes_unclassified; f__Lecanoromycetes_unclassified; g__Lecanoromycetes_unclassified"
"ASV14","Root; k__Fungi; p__Basidiomycota; c__Malasseziomycetes; o__Malasseziales; f__Malasseziaceae; g__Malassezia"
"ASV15","Root; k__Fungi; p__Basidiomycota; c__Exobasidiomycetes; o__Tilletiales; f__Tilletiaceae; g__Tilletia"
"ASV16","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Cladosporiaceae; g__Cladosporium"
"ASV17","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Cordycipitaceae; g__Cordyceps"
"ASV18","Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified"
"ASV20","Root; k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Lyophyllaceae; g__Lyophyllaceae_unclassified"
"ASV21","Root; k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales; f__Mrakiaceae; g__Itersonilia"
"ASV23","Root; k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Articulospora"
"ASV24","Root; k__Fungi; p__Basidiomycota; c__Malasseziomycetes; o__Malasseziales; f__Malasseziaceae; g__Malassezia"
"ASV25","Root; k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces"
"ASV26","Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified"
"ASV27","Root; k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Cryptococcus"
"ASV28","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Sordariaceae; g__Sordariaceae_unclassified"
"ASV29","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Capnodiales_unclassified; g__Capnodiales_unclassified"
"ASV30","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Glomerellaceae; g__Colletotrichum"
"ASV31","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Trichoderma"
"ASV32","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium"
"ASV33","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Schizothecium"
"ASV34","Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified"
"ASV35","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Capnodiales_unclassified; g__Capnodiales_unclassified"
"ASV36","Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified"
"ASV37","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Capnodiales_unclassified; g__Capnodiales_unclassified"
"ASV38","Root; k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetes_unclassified; f__Archaeorhizomycetes_unclassified; g__Archaeorhizomycetes_unclassified"
"ASV40","Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified"
"ASV41","Root; k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces"
"ASV43","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetes_unclassified; f__Sordariomycetes_unclassified; g__Sordariomycetes_unclassified"
"ASV44","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_unclassified; g__Hypocreales_unclassified"
"ASV45","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetes_unclassified; f__Sordariomycetes_unclassified; g__Sordariomycetes_unclassified"
"ASV46","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Sporocadaceae; g__Sporocadaceae_unclassified"
"ASV48","Root; k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Agaricales_unclassified; g__Agaricales_unclassified"
"ASV49","Root; k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Chaetothyriales_unclassified; g__Chaetothyriales_unclassified"
"ASV50","Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified"
"ASV51","Root; k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Leotiaceae; g__Gorgomyces"
"ASV52","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_unclassified; g__Pleosporales_unclassified"
"ASV54","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Thelonectria"
"ASV55","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_unclassified; g__Pleosporales_unclassified"
"ASV57","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Cladosporiaceae; g__Cladosporium"
"ASV58","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Conioscyphales; f__Conioscyphales_unclassified; g__Conioscyphales_unclassified"
"ASV59","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Sordariales_fam_Incertae_sedis; g__Conlarium"
"ASV60","Root; k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Physalacriaceae; g__Cryptomarasmius"
"ASV61","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariomycetes_unclassified; f__Sordariomycetes_unclassified; g__Sordariomycetes_unclassified"
"ASV62","Root; k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Physalacriaceae; g__Rhizomarasmius"
"ASV63","Root; k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Chaetomellaceae; g__Pilidium"
"ASV64","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; g__Teratosphaeriaceae_unclassified"
"ASV66","Root; k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces"
"ASV67","Root; k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces"
"ASV68","Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified"
"ASV69","Root; k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces"
